its2_prof,edited
A3,A3
A3/A6b-A3g-1371_A,A3/A6b-A3g-1371_A
A3-A6b-A3g,A3-A6b-A3g
A3-A6b,A3-A6b
1634,1634_A
C1-C1c-C1b-C1al,C1-C1c-C1b-C1al
C93a-1471-1391,C93a-1471_C-1391_C
C93a/C66-1471_C,C66/C93a-1471_C
C93a-1390-1391,C93a-1390_C-1391_C
C93a/C66-1385_C,C66/C93a-1385_C
C93a,C93a
C1/C66-C1c,C1/C66-C1c
C93a-1375,C93a-1375_C
C66/C93a,C66/C93a
C66,C66
C93a-1388-1375,C93a-1388_C-1375_C
C93a/C1-C1c,C1/C93a-C1c
C93a-1373,C93a-1373_C
C93a-1385,C93a-1385_C
C1c-C1-C1b,C1c-C1-C1b
C91,C91
1488,1488_C
D5/D4/1400_D-D9b,D4/D5/1400_D-D9b
D5/D4/D9b-1401_D-1403_D,D4/D5/D9b-1401_D-1403_D
D4/D5-D9b-1401_D-1407_D,D4/D5-D9b-1401_D-1407_D
D1-D4-D4c,D1-D4-D4c
D1-D4-D4c-1372,D1-D4-D4c-1372_D
D4/D5/D9b-1401_D,D4/D5/D9b-1401_D
D5-1423-1424,D5-1423_D-1424_D
D5-D4-D9b,D5-D4-D9b
D5,D5
D1,D1
1510,1510_D
