sample_id,haplotype
HH06,1
HH07,1
HH12,2
HH13,2
HH18,2
HH17,2
HH11,2
HH08,2
HH09,3
HH10,3
HH01,4
HH19,4
HH16,4
HH15,4
HH14,4
HH03,4
HH02,4
HH05,5
HP01,1
HP05,1
HP02,1
TC13,1
TC12,2
TC29,3
TC15,4
TC18,4
TC21,9
TC11,5
TC10,6
TC19,7
TC22,8
TC23,8
TC24,10
TC25,10
TC20,11
TC07,12
TC28,12
TC16,13
TC14,14
TC09,19
TC27,15
TC06,16
TC08,17
TC26,18
TC17,20
TD14,1
TD16,1
TD18,1
TD17,1
TD15,1
TD07,1
TD11,2
TD10,2
TD12,2
TD09,2
TD20,2
TD19,2
TD21,2
TD08,3
TD13,4
TG38,1
TG36,1
TG46,1
TG44,1
TG56,1
TG52,1
TG39,1
TG45,1
TG64,1
TG62,1
TG37,1
TG40,1
TG35,1
TG55,1
TG54,1
TG61,1
TG60,1
TG66,1
TG63,1
TG53,1
TG42,1
TG59,1
TG51,1
TG48,2
TG49,3
TG58,4
TG57,4
TG43,4
TG67,4
TG47,4
TM24,1
TM21,1
TM15,2
TM11,2
TM01,2
TM12,2
TM23,2
TM17,2
TM18,2
TM22,2
TM13,2
TM07,2
TM25,2
TM27,2
TM20,3
TM02,4
TM03,9
TM06,5
TM26,5
TM16,6
TM04,7
TM14,8
TM19,10
TM28,11
TM10,12
TM05,13
TM08,14
TN11,1
TN07,1
TN12,1
TN09,1
TN06,1
TN10,1
TN13,1
TN08,1
TN05,1
TN17,1
TN15,2
TN16,2
TN14,3
TS24,1
TS21,1
TS31,1
TS30,1
TS15,1
TS16,1
TS29,1
TS18,1
TS17,1
TS32,1
TS11,1
TS27,1
TS25,1
TS20,1
TS12,1
TS14,1
TS23,1
TS09,1
TS33,1
TS35,1
TS26,2
TS13,2
TS19,2
TS22,2
TS10,2
TS28,3
TS08,4
