groups,Parameter,Df,SumOfSqs,R2,F,Pr(>F),P-adjusted
Alaminos_vs_Batangas,Species,1,0.12139005580536588,0.12770314966410062,0.8783923703147068,0.307,0.39471428571428574
Alaminos_vs_Batangas,Residual,6,0.8291742499667301,0.8722968503358993,NA,NA,NA
Alaminos_vs_Batangas,Total,7,0.9505643057720959,1,NA,NA,NA
Alaminos_vs_Zambales,Species,1,0.12244840832050347,0.33183318919282573,1.9865290153634352,0.4,0.46451612903225814
Alaminos_vs_Zambales,Residual,4,0.24655750280717958,0.6681668108071744,NA,NA,NA
Alaminos_vs_Zambales,Total,5,0.369005911127683,1,NA,NA,NA
Alaminos_vs_Palawan,Species,1,0.9747510185914867,0.6238690266541745,6.634593488588573,0.1,0.1565217391304348
Alaminos_vs_Palawan,Residual,4,0.5876779159223833,0.37613097334582585,NA,NA,NA
Alaminos_vs_Palawan,Total,5,1.5624289345138693,1,NA,NA,NA
Alaminos_vs_Antique,Species,1,0.057463784722507565,0.17248090745432848,0.833725331575037,0.5,0.5142857142857142
Alaminos_vs_Antique,Residual,4,0.2756964796257277,0.8275190925456717,NA,NA,NA
Alaminos_vs_Antique,Total,5,0.3331602643482352,1,NA,NA,NA
Alaminos_vs_Bolinao,Species,1,0.12219571780100728,0.2885968507310345,1.622690880846368,0.4,0.46451612903225814
Alaminos_vs_Bolinao,Residual,4,0.30121748816945854,0.7114031492689656,NA,NA,NA
Alaminos_vs_Bolinao,Total,5,0.4234132059704658,1,NA,NA,NA
Alaminos_vs_Bohol,Species,1,0.023475269960299257,0.052388199279616375,0.22113780870939073,0.5,0.5142857142857142
Alaminos_vs_Bohol,Residual,4,0.4246269798422284,0.9476118007203836,NA,NA,NA
Alaminos_vs_Bohol,Total,5,0.44810224980252766,1,NA,NA,NA
Alaminos_vs_Camiguin,Species,1,0.7695575740961828,0.3330764756792317,3.4959560500271554,0.031,0.1565217391304348
Alaminos_vs_Camiguin,Residual,7,1.5408955208780257,0.6669235243207681,NA,NA,NA
Alaminos_vs_Camiguin,Total,8,2.310453094974209,1,NA,NA,NA
Alaminos_vs_Samar,Species,1,0.21737930611943504,0.43632806025987786,3.096326281283716,0.1,0.1565217391304348
Alaminos_vs_Samar,Residual,4,0.28082222139626845,0.5636719397401223,NA,NA,NA
Alaminos_vs_Samar,Total,5,0.4982015275157034,1,NA,NA,NA
Batangas_vs_Zambales,Species,1,0.018952982381460468,0.02881590746492099,0.1780254084868889,0.932,0.932
Batangas_vs_Zambales,Residual,6,0.6387733933897297,0.971184092535079,NA,NA,NA
Batangas_vs_Zambales,Total,7,0.6577263757711902,1,NA,NA,NA
Batangas_vs_Palawan,Species,1,0.7327275197492197,0.4278397731691465,4.486573023842441,0.058,0.1565217391304348
Batangas_vs_Palawan,Residual,6,0.9798938065049332,0.5721602268308534,NA,NA,NA
Batangas_vs_Palawan,Total,7,1.712621326254153,1,NA,NA,NA
Batangas_vs_Antique,Species,1,0.15290560923436614,0.186284429756513,1.373583865680029,0.26,0.39
Batangas_vs_Antique,Residual,6,0.6679123702082778,0.8137155702434868,NA,NA,NA
Batangas_vs_Antique,Total,7,0.820817979442644,1,NA,NA,NA
Batangas_vs_Bolinao,Species,1,0.09724694478654408,0.12299148200796528,0.8414386826451484,0.441,0.48109090909090907
Batangas_vs_Bolinao,Residual,6,0.6934333787520087,0.8770085179920347,NA,NA,NA
Batangas_vs_Bolinao,Total,7,0.7906803235385528,1,NA,NA,NA
Batangas_vs_Bohol,Species,1,0.11849201813606142,0.12668405678567174,0.8703658127623195,0.275,0.39471428571428574
Batangas_vs_Bohol,Residual,6,0.8168428704247785,0.8733159432143281,NA,NA,NA
Batangas_vs_Bohol,Total,7,0.93533488856084,1,NA,NA,NA
Batangas_vs_Camiguin,Species,1,0.7446608710339155,0.27808969265311206,3.4669227027331733,0.054,0.1565217391304348
Batangas_vs_Camiguin,Residual,9,1.933111411460576,0.7219103073468879,NA,NA,NA
Batangas_vs_Camiguin,Total,10,2.677772282494492,1,NA,NA,NA
Batangas_vs_Samar,Species,1,0.4424867474647631,0.39666238158553746,3.9446807506677013,0.034,0.1565217391304348
Batangas_vs_Samar,Residual,6,0.6730381119788186,0.6033376184144624,NA,NA,NA
Batangas_vs_Samar,Total,7,1.1155248594435818,1,NA,NA,NA
Zambales_vs_Palawan,Species,1,0.648688626288902,0.6201815558562329,6.5313474415843205,0.1,0.1565217391304348
Zambales_vs_Palawan,Residual,4,0.39727705934538277,0.3798184441437673,NA,NA,NA
Zambales_vs_Palawan,Total,5,1.0459656856342845,1,NA,NA,NA
Zambales_vs_Antique,Species,1,0.09557297627844744,0.5284111041605662,4.481963920884846,0.1,0.1565217391304348
Zambales_vs_Antique,Residual,4,0.08529562304872731,0.471588895839434,NA,NA,NA
Zambales_vs_Antique,Total,5,0.18086859932717472,1,NA,NA,NA
Zambales_vs_Bolinao,Species,1,0.13030605039761606,0.5404139059923864,4.703483530408416,0.1,0.1565217391304348
Zambales_vs_Bolinao,Residual,4,0.11081663159245822,0.45958609400761374,NA,NA,NA
Zambales_vs_Bolinao,Total,5,0.24112268199007425,1,NA,NA,NA
Zambales_vs_Bohol,Species,1,0.15777750773189914,0.4024899140106573,2.694447665058066,0.3,0.39471428571428574
Zambales_vs_Bohol,Residual,4,0.23422612326522807,0.5975100859893429,NA,NA,NA
Zambales_vs_Bohol,Total,5,0.39200363099712715,1,NA,NA,NA
Zambales_vs_Camiguin,Species,1,0.6776605875843325,0.33412658471504303,3.5125085929498887,0.022,0.1565217391304348
Zambales_vs_Camiguin,Residual,7,1.3504946643010254,0.6658734152849569,NA,NA,NA
Zambales_vs_Camiguin,Total,8,2.028155251885358,1,NA,NA,NA
Zambales_vs_Samar,Species,1,0.4702738292556774,0.8387334762723474,20.80365985165779,0.1,0.1565217391304348
Zambales_vs_Samar,Residual,4,0.09042136481926809,0.16126652372765282,NA,NA,NA
Zambales_vs_Samar,Total,5,0.5606951940749454,1,NA,NA,NA
Palawan_vs_Antique,Species,1,1.062544141096093,0.7136148819314839,9.967206211612641,0.1,0.1565217391304348
Palawan_vs_Antique,Residual,4,0.4264160361639308,0.28638511806851635,NA,NA,NA
Palawan_vs_Antique,Total,5,1.4889601772600234,1,NA,NA,NA
Palawan_vs_Bolinao,Species,1,0.578587740168476,0.5614496115569103,5.120958743647485,0.1,0.1565217391304348
Palawan_vs_Bolinao,Residual,4,0.45193704470766166,0.43855038844308974,NA,NA,NA
Palawan_vs_Bolinao,Total,5,1.0305247848761376,1,NA,NA,NA
Palawan_vs_Bohol,Species,1,0.9318247805820427,0.6182606914654039,6.47835502022315,0.1,0.1565217391304348
Palawan_vs_Bohol,Residual,4,0.5753465363804317,0.38173930853459626,NA,NA,NA
Palawan_vs_Bohol,Total,5,1.507171316962474,1,NA,NA,NA
Palawan_vs_Camiguin,Species,1,0.19483723549006143,0.1032823539492991,0.8062476308224856,0.419,0.471375
Palawan_vs_Camiguin,Residual,7,1.6916150774162289,0.8967176460507008,NA,NA,NA
Palawan_vs_Camiguin,Total,8,1.8864523129062905,1,NA,NA,NA
Palawan_vs_Samar,Species,1,1.2421588981853113,0.7421631095143402,11.51368383502308,0.1,0.1565217391304348
Palawan_vs_Samar,Residual,4,0.43154177793447157,0.25783689048566005,NA,NA,NA
Palawan_vs_Samar,Total,5,1.6737006761197826,1,NA,NA,NA
Antique_vs_Bolinao,Species,1,0.3168045791184123,0.6935906144359569,9.05443040733474,0.1,0.1565217391304348
Antique_vs_Bolinao,Residual,4,0.13995560841100632,0.3064093855640433,NA,NA,NA
Antique_vs_Bolinao,Total,5,0.4567601875294185,1,NA,NA,NA
Antique_vs_Bohol,Species,1,0.06892580106385619,0.2074260860764087,1.046847908730974,0.4,0.46451612903225814
Antique_vs_Bohol,Residual,4,0.26336510008377617,0.7925739139235914,NA,NA,NA
Antique_vs_Bohol,Total,5,0.3322909011476323,1,NA,NA,NA
Antique_vs_Camiguin,Species,1,0.9545257035558512,0.4089376784551023,4.843082776286008,0.028,0.1565217391304348
Antique_vs_Camiguin,Residual,7,1.3796336411195735,0.5910623215448977,NA,NA,NA
Antique_vs_Camiguin,Total,8,2.3341593446754247,1,NA,NA,NA
Antique_vs_Samar,Species,1,0.2844946569309643,0.7040988428275465,9.518027567796125,0.1,0.1565217391304348
Antique_vs_Samar,Residual,4,0.11956034163781619,0.2959011571724535,NA,NA,NA
Antique_vs_Samar,Total,5,0.40405499856878047,1,NA,NA,NA
Bolinao_vs_Bohol,Species,1,0.14854360178640622,0.33958279067475416,2.056777357584057,0.3,0.39471428571428574
Bolinao_vs_Bohol,Residual,4,0.2888861086275071,0.6604172093252461,NA,NA,NA
Bolinao_vs_Bohol,Total,5,0.4374297104139132,1,NA,NA,NA
Bolinao_vs_Camiguin,Species,1,0.5007207146806429,0.262724795151022,2.4944193890717727,0.093,0.1565217391304348
Bolinao_vs_Camiguin,Residual,7,1.4051546496633045,0.737275204848978,NA,NA,NA
Bolinao_vs_Camiguin,Total,8,1.9058753643439474,1,NA,NA,NA
Bolinao_vs_Samar,Species,1,0.5240301019889428,0.7831731175562361,14.447897026963133,0.1,0.1565217391304348
Bolinao_vs_Samar,Residual,4,0.14508135018154708,0.21682688244376408,NA,NA,NA
Bolinao_vs_Samar,Total,5,0.6691114521704898,1,NA,NA,NA
Bohol_vs_Camiguin,Species,1,0.775421413945458,0.33655654314668937,3.5510121890428428,0.028,0.1565217391304348
Bohol_vs_Camiguin,Residual,7,1.5285641413360742,0.6634434568533106,NA,NA,NA
Bohol_vs_Camiguin,Total,8,2.3039855552815323,1,NA,NA,NA
Bohol_vs_Samar,Species,1,0.1861169492940965,0.40940114295871344,2.7727865577639847,0.1,0.1565217391304348
Bohol_vs_Samar,Residual,4,0.268490841854317,0.5905988570412869,NA,NA,NA
Bohol_vs_Samar,Total,5,0.4546077911484133,1,NA,NA,NA
Camiguin_vs_Samar,Species,1,1.1122475020600135,0.44543229286379327,5.622444310989675,0.019,0.1565217391304348
Camiguin_vs_Samar,Residual,7,1.3847593828901141,0.5545677071362066,NA,NA,NA
Camiguin_vs_Samar,Total,8,2.497006884950128,1,NA,NA,NA
